"Time","sensor-readings.difference"
1676444400000,0
1676445300000,0
1676446200000,0
1676447100000,0
1676448000000,0
1676448900000,0
1676449800000,0
1676450700000,0
1676451600000,0
1676452500000,0
1676453400000,0
1676454300000,0
1676455200000,0
1676456100000,11.20001220703
1676457000000,0
1676457900000,0
1676458800000,0
1676459700000,0
1676460600000,0
1676461500000,0
1676462400000,0
1676463300000,0
1676464200000,0
1676465100000,0
1676466000000,0
1676466900000,0
1676467800000,0
1676468700000,0
1676469600000,0
1676470500000,0
1676471400000,0
1676472300000,0
1676473200000,0
1676474100000,0
1676475000000,0
1676475900000,0
1676476800000,0
1676477700000,0
1676478600000,0
1676479500000,0
1676480400000,0
1676481300000,0
1676482200000,0
1676483100000,0
1676484000000,0
1676484900000,0
1676485800000,0
1676486700000,0
1676487600000,0
1676488500000,0
1676489400000,0
1676490300000,0
1676491200000,0
1676492100000,0
1676493000000,0
1676493900000,0
1676494800000,0
1676495700000,0
1676496600000,0
1676497500000,0
1676498400000,0
1676499300000,0
1676500200000,0
1676501100000,0
1676502000000,0
1676502900000,0
1676503800000,0
1676504700000,0
1676505600000,0
1676506500000,0
1676507400000,0
1676508300000,0
1676509200000,0
1676510100000,0
1676511000000,0
1676511900000,0
1676512800000,0
1676513700000,0
1676514600000,0
1676515500000,0
1676516400000,0
1676517300000,0
1676518200000,0
1676519100000,0
1676520000000,0
1676520900000,0
1676521800000,0
1676522700000,0
1676523600000,0
1676524500000,0
1676525400000,0
1676526300000,0
1676527200000,0
1676528100000,0
1676529000000,0
1676529900000,0
1676530800000,37.39999389649
1676531700000,0.6000061035099975
1676532600000,0
1676533500000,0
1676534400000,0
1676535300000,2.100006103520002
1676536200000,0
1676537100000,0
1676538000000,0
1676538900000,0
1676539800000,0
1676540700000,0
1676541600000,0
1676542500000,0
1676543400000,0
1676544300000,0
1676545200000,4.699981689449999
1676546100000,0
1676547000000,0
1676547900000,0
1676548800000,0
1676549700000,0
1676550600000,0
1676551500000,1.899993896479998
1676552400000,0
1676553300000,0
1676554200000,0
1676555100000,0
1676556000000,0
1676556900000,0
1676557800000,1.600006103520002
1676558700000,0
1676559600000,0
1676560500000,0
1676561400000,0
1676562300000,0
1676563200000,0
1676564100000,1.600006103520002
1676565000000,0
1676565900000,0
1676566800000,0
1676567700000,0
1676568600000,0
1676569500000,0
1676570400000,0
1676571300000,0
1676572200000,0
1676573100000,0
1676574000000,0
1676574900000,0
1676575800000,0
1676576700000,0
1676577600000,0
1676578500000,0
